Survived,Class,Sex,Age,Fare,SiblingsSpouses,ParentsChildren,embarked
1,1,M,36.0,512.3292,0,1,C
0,3,F,28.0,8.1375,0,0,Q
1,1,M,27.0,76.7292,0,0,C
0,3,M,20.0,9.225,0,0,S
0,3,M,14.0,46.9,5,2,S
0,2,M,60.0,39.0,1,1,S
0,2,M,25.0,41.5792,1,2,C
0,3,M,14.0,39.6875,4,1,S
0,3,M,19.0,10.1708,0,0,S
0,3,M,18.0,7.7958,0,0,S
1,1,F,15.0,211.3375,0,1,S
1,1,M,31.0,57.0,1,0,S
1,3,F,4.0,13.4167,0,1,C
1,3,M,28.0,56.4958,0,0,S
0,3,M,25.0,7.225,0,0,C
0,1,M,60.0,26.55,0,0,S
0,2,M,52.0,13.5,0,0,S
0,3,M,44.0,8.05,0,0,S
1,3,F,28.0,7.7333,0,0,Q
0,1,M,49.0,110.8833,1,1,C
0,3,M,42.0,7.65,0,0,S
1,1,F,18.0,227.525,1,0,C
1,1,M,35.0,26.2875,0,0,S
0,3,F,18.0,14.4542,0,1,C
0,3,M,25.0,7.7417,0,0,Q
0,3,M,26.0,7.8542,1,0,S
0,2,M,39.0,26.0,0,0,S
1,2,F,45.0,13.5,0,0,S
1,1,M,42.0,26.2875,0,0,S
1,1,F,22.0,151.55,0,0,S
1,3,M,28.0,15.2458,1,1,C
1,1,F,24.0,49.5042,0,0,C
0,1,M,28.0,26.55,0,0,S
1,1,M,48.0,52.0,1,0,S
0,3,M,29.0,9.4833,0,0,S
0,2,M,52.0,13.0,0,0,S
0,3,M,19.0,7.65,0,0,S
1,1,F,38.0,227.525,0,0,C
1,2,F,27.0,10.5,0,0,S
0,3,M,28.0,15.5,0,0,Q
0,3,M,33.0,7.775,0,0,S
1,2,F,6.0,33.0,0,1,S
0,3,M,17.0,7.0542,1,0,S
0,2,M,34.0,13.0,0,0,S
0,2,M,50.0,13.0,0,0,S
1,1,M,27.0,53.1,1,0,S
0,3,M,20.0,8.6625,0,0,S
1,2,F,30.0,21.0,3,0,S
1,3,F,28.0,7.7375,0,0,Q
0,2,M,25.0,26.0,1,0,S
0,3,F,25.0,7.925,1,0,S
1,1,F,29.0,211.3375,0,0,S
0,3,M,11.0,18.7875,0,0,C
0,2,M,28.0,0.0,0,0,S
0,2,M,23.0,13.0,0,0,S
0,2,M,23.0,13.0,0,0,S
0,3,M,28.5,16.1,0,0,S
0,3,F,48.0,34.375,1,3,S
1,1,M,35.0,512.3292,0,0,C
0,3,M,28.0,7.8958,0,0,S
0,3,M,28.0,7.8958,0,0,S
1,1,M,28.0,30.0,0,0,S
0,1,M,36.0,78.85,1,0,S
1,1,F,21.0,262.375,2,2,C
0,3,M,24.0,16.1,1,0,S
1,3,M,31.0,7.925,0,0,S
0,1,M,70.0,71.0,1,1,S
0,3,M,16.0,20.25,1,1,S
1,2,F,30.0,13.0,0,0,S
0,1,M,19.0,53.1,1,0,S
0,3,M,31.0,7.75,0,0,Q
1,2,F,4.0,23.0,1,1,S
1,3,M,6.0,12.475,0,1,S
0,3,M,33.0,9.5,0,0,S
0,3,M,23.0,7.8958,0,0,S
1,2,F,48.0,65.0,1,2,S
1,2,M,0.67,14.5,1,1,S
0,3,M,28.0,7.7958,0,0,S
0,2,M,18.0,11.5,0,0,S
0,3,M,34.0,8.05,0,0,S
1,1,F,33.0,86.5,0,0,S
0,3,M,28.0,14.5,0,0,S
0,3,M,41.0,7.125,0,0,S
1,3,M,20.0,7.2292,0,0,C
1,1,F,36.0,120.0,1,2,S
0,3,M,16.0,7.775,0,0,S
1,1,F,51.0,77.9583,1,0,S
0,1,M,28.0,39.6,0,0,C
0,3,F,30.5,7.75,0,0,Q
0,3,M,28.0,24.15,1,0,Q
0,3,M,32.0,8.3625,0,0,S
0,3,M,24.0,9.5,0,0,S
0,3,M,48.0,7.8542,0,0,S
0,2,F,57.0,10.5,0,0,S
0,3,M,28.0,7.225,0,0,C
1,2,F,54.0,23.0,1,3,S
0,3,M,18.0,7.75,0,0,S
0,3,M,28.0,7.75,0,0,Q
1,3,F,5.0,12.475,0,0,S
0,3,M,28.0,7.7375,0,0,Q
1,1,F,43.0,211.3375,0,1,S
1,3,F,13.0,7.2292,0,0,C
1,1,F,17.0,57.0,1,0,S
0,1,M,29.0,30.0,0,0,S
0,3,M,28.0,23.45,1,2,S
0,3,M,25.0,7.05,0,0,S
0,3,M,25.0,7.25,0,0,S
1,3,F,18.0,7.4958,0,0,S
0,3,M,8.0,29.125,4,1,Q
1,3,M,1.0,20.575,1,2,S
0,1,M,46.0,79.2,0,0,C
0,3,M,28.0,7.75,0,0,Q
0,2,M,16.0,26.0,0,0,S
0,3,F,50.09372051890011,69.55,8,2,S
0,1,M,28.0,30.6958,0,0,C
0,3,M,25.0,7.8958,0,0,S
0,2,M,39.0,13.0,0,0,S
1,1,F,49.0,25.9292,0,0,S
1,3,F,31.0,8.6833,0,0,S
0,3,M,30.0,7.2292,0,0,C
0,3,F,30.0,24.15,1,1,S
0,2,M,34.0,13.0,0,0,S
1,2,F,31.0,26.25,1,1,S
1,1,M,11.0,120.0,1,2,S
1,3,M,0.42,8.5167,0,1,C
1,3,M,27.0,6.975,0,0,S
0,3,M,31.0,7.775,0,0,S
0,1,M,39.0,0.0,0,0,S
0,3,F,18.0,7.775,0,0,S
0,2,M,39.0,13.0,0,0,S
1,1,F,33.0,53.1,1,0,S
0,3,M,26.0,7.8875,0,0,S
0,3,M,39.0,24.15,0,0,S
0,2,M,35.0,10.5,0,0,S
0,3,F,6.0,31.275,4,2,S
0,3,M,30.5,8.05,0,0,S
0,1,M,28.0,0.0,0,0,S
0,3,F,23.0,7.925,0,0,S
0,2,M,31.0,37.0042,1,1,C
0,3,M,43.0,6.45,0,0,S
0,3,M,10.0,27.9,3,2,S
1,1,F,52.0,93.5,1,1,S
1,3,M,27.0,8.6625,0,0,S
0,1,M,38.0,0.0,0,0,S
1,3,F,27.0,12.475,0,1,S
0,3,M,2.0,39.6875,4,1,S
0,3,M,28.0,6.95,0,0,Q
0,3,M,28.0,56.4958,0,0,S
1,2,M,1.0,37.0042,0,2,C
1,3,M,28.0,7.75,0,0,Q
1,1,F,62.0,80.0,0,0,S
1,3,F,15.0,14.4542,1,0,C
1,2,M,0.83,18.75,1,1,S
0,3,M,28.0,7.2292,0,0,C
0,3,M,23.0,7.8542,0,0,S
0,3,M,18.0,8.3,0,0,S
1,1,F,39.0,83.1583,1,1,C
0,3,M,21.0,8.6625,0,0,S
0,3,M,28.0,8.05,0,0,S
1,3,M,32.0,56.4958,0,0,S
1,1,M,28.0,29.7,0,0,C
0,3,M,20.0,7.925,0,0,S
0,2,M,16.0,10.5,0,0,S
1,1,F,30.0,31.0,0,0,C
0,3,M,34.5,6.4375,0,0,C
0,3,M,17.0,8.6625,0,0,S
0,3,M,42.0,7.55,0,0,S
0,3,M,28.0,69.55,8,2,S
0,3,M,35.0,7.8958,0,0,C
0,2,M,28.0,33.0,0,1,S
1,1,F,28.0,89.1042,1,0,C
0,3,M,4.0,31.275,4,2,S
0,3,M,74.0,7.775,0,0,S
0,3,F,9.0,15.2458,1,1,C
1,1,F,16.0,39.4,0,1,S
0,2,F,44.0,26.0,1,0,S
1,3,F,18.0,9.35,0,1,S
1,1,F,45.0,164.8667,1,1,S
1,1,M,51.0,26.55,0,0,S
1,3,F,24.0,19.2583,0,3,C
0,3,M,28.0,7.2292,0,0,C
0,3,M,41.0,14.1083,2,0,S
0,2,M,21.0,11.5,1,0,S
1,1,F,48.0,25.9292,0,0,S
0,3,F,27.2868343048921,69.55,8,2,S
0,2,M,24.0,13.0,0,0,S
1,2,F,42.0,13.0,0,0,S
1,2,F,27.0,13.8583,1,0,C
0,1,M,31.0,50.4958,0,0,S
0,3,M,28.0,9.5,0,0,S
1,3,M,4.0,11.1333,1,1,S
0,3,M,26.0,7.8958,0,0,S
1,1,F,47.0,52.5542,1,1,S
0,1,M,33.0,5.0,0,0,S
0,3,M,47.0,9.0,0,0,S
1,2,F,28.0,24.0,1,0,C
1,3,F,15.0,7.225,0,0,C
0,3,M,20.0,9.8458,0,0,S
0,3,M,19.0,7.8958,0,0,S
0,3,M,28.0,7.8958,0,0,S
1,1,F,56.0,83.1583,0,1,C
1,2,F,25.0,26.0,0,1,S
0,3,M,33.0,7.8958,0,0,S
0,3,F,22.0,10.5167,0,0,S
0,2,M,28.0,10.5,0,0,S
0,3,M,25.0,7.05,0,0,S
0,3,F,39.0,29.125,0,5,Q
0,2,M,27.0,13.0,0,0,S
1,1,F,19.0,30.0,0,0,S
0,3,F,28.0,23.45,1,2,S
1,1,M,26.0,30.0,0,0,C
0,3,M,32.0,7.75,0,0,Q
